City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
79,Joshimath,IN,30.5667,79.5667,69.84,87,93,2.39,overcast clouds
80,Avarua,CK,-21.2078,-159.775,77.05,65,100,16.11,overcast clouds
81,Port Lincoln,AU,-34.7333,135.8667,55.49,94,86,9.78,overcast clouds
82,Saint-Augustin,CA,51.226,-58.6502,58.64,78,100,11.7,overcast clouds
83,Ilulissat,GL,69.2167,-51.1,59.02,38,73,10.36,broken clouds
84,Berezovyy,RU,51.6667,135.7,55.31,82,100,3.89,overcast clouds
85,Norman Wells,CA,65.282,-126.8329,83.32,34,31,4.85,scattered clouds
86,Craig,US,40.5153,-107.5464,86.59,44,1,12.66,thunderstorm
87,Hithadhoo,MV,-0.6,73.0833,80.73,77,94,6.22,overcast clouds
88,Goderich,CA,43.7501,-81.7165,64.9,62,0,12.97,clear sky
89,Airai,TL,-8.9266,125.4092,61.81,62,52,2.39,broken clouds
90,Lunglei,IN,22.8833,92.7333,66.18,98,100,2.68,overcast clouds
91,Bordighera,IT,43.7806,7.6645,77.25,86,0,3.0,clear sky
92,Gasa,PS,31.5,34.4667,78.78,77,0,1.86,clear sky
93,Touros,BR,-5.1989,-35.4608,77.61,79,41,16.46,scattered clouds
94,Natal,BR,-5.795,-35.2094,76.62,80,99,11.99,overcast clouds
95,Kavieng,PG,-2.5744,150.7967,83.53,74,67,8.08,broken clouds
96,Port-Gentil,GA,-0.7193,8.7815,76.6,77,15,15.48,few clouds
97,Te Anau,NZ,-45.4167,167.7167,45.32,95,100,2.77,overcast clouds
98,Bucerias,MX,20.75,-105.3333,86.99,74,90,9.22,overcast clouds
99,Broken Hill,AU,-31.95,141.4333,60.87,47,0,5.99,clear sky
100,Hofn,IS,64.2539,-15.2082,50.25,85,13,7.07,few clouds
101,Qaanaaq,GL,77.484,-69.3632,41.85,90,99,0.72,overcast clouds
102,Rockledge,US,28.3508,-80.7253,92.28,78,1,8.99,clear sky
103,Tocache,PE,-8.1842,-76.5125,72.34,81,96,2.15,overcast clouds
104,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,29,0,11.5,clear sky
105,Port Alfred,ZA,-33.5906,26.891,57.88,73,24,6.35,few clouds
106,Beringovskiy,RU,63.05,179.3167,42.73,77,94,16.62,overcast clouds
107,Grindavik,IS,63.8424,-22.4338,55.87,94,0,4.61,clear sky
108,Villa Bruzual,VE,9.3328,-69.1208,75.83,90,38,1.81,scattered clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,54.88,57,0,5.99,clear sky
110,Castro,BR,-24.7911,-50.0119,39.42,70,98,5.53,overcast clouds
111,Grasten,DK,54.9192,9.5952,62.64,84,90,6.91,moderate rain
112,Omboue,GA,-1.5746,9.2618,73.65,79,8,7.85,clear sky
113,Charters Towers,AU,-20.1,146.2667,70.88,71,64,13.22,broken clouds
114,Faanui,PF,-16.4833,-151.75,77.61,73,70,17.45,broken clouds
115,Les Escoumins,CA,48.1111,-69.0236,51.49,82,100,13.13,overcast clouds
116,La Ronge,CA,55.1001,-105.2842,74.46,38,69,8.95,broken clouds
117,Quelimane,MZ,-17.8786,36.8883,65.34,95,2,4.27,clear sky
118,Edd,ER,13.9297,41.6925,91.42,58,99,10.92,overcast clouds
119,Krasnokholm,RU,51.5979,54.1567,73.04,56,44,2.21,scattered clouds
120,Reconquista,AR,-29.15,-59.65,49.59,48,0,7.7,clear sky
121,Tierralta,CO,8.1736,-76.0592,80.76,87,47,4.79,scattered clouds
122,Barrow,US,71.2906,-156.7887,51.82,87,90,9.22,light rain
123,Ortakoy,TR,38.7373,34.0387,68.25,59,0,6.46,clear sky
124,Lucapa,AO,-8.4192,20.7447,67.05,33,0,4.47,clear sky
125,Linqiong,CN,30.4159,103.4609,75.02,71,90,2.39,overcast clouds
126,Nanortalik,GL,60.1432,-45.2371,44.6,86,100,11.07,light rain
127,Chokurdakh,RU,70.6333,147.9167,62.76,42,100,14.65,overcast clouds
128,Ahipara,NZ,-35.1667,173.1667,58.33,86,100,16.2,light rain
129,Pergine Valsugana,IT,46.065,11.238,71.35,79,70,0.34,broken clouds
130,Ukiah,US,39.1502,-123.2078,107.53,11,1,11.5,clear sky
131,Tiznit,MA,29.5833,-9.5,80.51,43,11,2.48,few clouds
132,Caravelas,BR,-17.7125,-39.2481,67.33,78,100,10.6,overcast clouds
133,Bandarbeyla,SO,9.4942,50.8122,76.53,72,31,23.91,scattered clouds
134,Sibolga,ID,1.7427,98.7792,75.18,89,92,2.95,overcast clouds
135,Lodja,CD,-3.4833,23.4333,80.98,32,93,1.25,overcast clouds
136,Salaga,GH,8.5508,-0.5188,77.38,80,100,4.79,light rain
137,Narsaq,GL,60.9167,-46.05,61.02,65,100,4.81,overcast clouds
138,Agirish,RU,61.9247,63.0231,47.75,91,72,5.32,broken clouds
139,Blackwater,AU,-23.5833,148.8833,66.58,78,30,10.76,scattered clouds
140,Port Hedland,AU,-20.3167,118.5667,64.45,88,75,9.22,broken clouds
141,Rock Springs,US,41.5875,-109.2029,80.04,34,20,11.5,few clouds
142,Biak,ID,-0.9131,122.8766,76.23,84,65,4.7,broken clouds
143,Bar Harbor,US,44.3876,-68.2039,68.94,68,20,11.01,few clouds
144,Skibbereen,IE,51.55,-9.2667,58.8,85,78,12.37,broken clouds
145,Dharchula,IN,29.85,80.5333,71.2,90,94,1.81,overcast clouds
146,Zhifang,CN,30.35,114.3167,82.49,71,0,2.93,clear sky
147,Pozzallo,IT,36.7305,14.8499,84.22,60,0,10.31,clear sky
148,Pangnirtung,CA,66.1451,-65.7125,58.71,59,88,3.13,overcast clouds
