City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
314,Gorontalo,ID,76.73,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
315,Finschhafen,PG,80.33,moderate rain,-6.6024,147.8681,Cossam Guest House
316,Kuliyapitiya,LK,82.08,clear sky,7.4688,80.0401,Rest House
317,Kirakira,SB,82.09,broken clouds,-10.4544,161.9205,SanBiz Lodge
318,Lala,PH,78.57,broken clouds,7.9745,123.7458,Dennis
319,Laguna De Perlas,NI,79.84,broken clouds,12.3429,-83.6712,Hotel Best View
320,Jumla,NP,61.25,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
321,Saint-Ambroise,CA,57.58,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
322,Marialva,BR,54.23,overcast clouds,-23.485,-51.7917,Hotel Vinhedo
323,Maturin,VE,76.68,few clouds,9.75,-63.1767,Hotel Residencial La Pichincha
324,Russell,US,91.11,clear sky,32.3502,-85.1999,Macs
325,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
328,Baruni,IN,78.4,overcast clouds,25.4833,85.9833,Ashraf Mishthan And Cold Drink
330,Ankazoabo,MG,61.65,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
331,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
332,Sechura,PE,72.54,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
333,Senador Jose Porfirio,BR,74.75,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
334,Hualmay,PE,64.63,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
335,Alta Floresta,BR,72.77,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
336,Buala,SB,83.8,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
337,Kushiro,JP,74.12,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
338,Asau,RO,68.4,clear sky,46.4333,26.4,Casa Mika Ciobanus
339,Hoquiam,US,100.06,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
340,Nador,MA,82.65,clear sky,35.174,-2.9287,Hôtel La Giralda
341,San Patricio,US,95.72,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
342,Severo-Kurilsk,RU,55.94,overcast clouds,50.6789,156.125,Kak Doma
343,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Luis Correia,BR,79.2,scattered clouds,-2.8792,-41.6669,Hotel Amarração
345,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
346,Sinnamary,GF,78.78,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
347,Terrace,CA,87.55,few clouds,54.5163,-128.6035,Northern Motor Inn
348,Binga,ZW,61.63,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
349,Vila,PT,55.71,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
350,Shenjiamen,CN,79.2,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
352,Flores Costa Cuca,GT,85.91,scattered clouds,14.65,-91.8167,Eco Hotel Centro Recreativo El Chipe
353,Igarka,RU,57.29,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
355,Dingzhou,CN,76.77,clear sky,38.5131,114.9956,宜家时尚宾馆
356,Jacareacanga,BR,79.65,clear sky,-6.2222,-57.7528,Casa do Ian😎
357,San Quintin,MX,75.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
358,Sitka,US,67.89,light rain,57.0531,-135.33,Westmark Sitka
359,Aragarcas,BR,70.88,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
360,Holesov,CZ,69.98,scattered clouds,49.3333,17.5783,Hotel Tacl
361,Burgos,ES,57.61,overcast clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
362,Cabra,ES,80.91,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
363,Killybegs,IE,56.44,broken clouds,54.6333,-8.45,Tara Hotel
364,Klaebu,NO,52.03,overcast clouds,63.2976,10.4826,Gjenvollhytta
366,Yulara,AU,61.21,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
367,Cockburn Town,TC,82.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
369,Mana,GF,77.99,scattered clouds,5.6592,-53.7767,LE SAMANA
371,Sao Joao Da Barra,BR,62.02,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
